es_id,es001,es002,es003,es010,es011,es012,es013,es014,es015,es016,es017,es018,es021,es022,es023,es024,es025,es026,es027,es028,es029,es030,es031,es032,es033,es034,es035,es036,es037,es038,es039,es040,es041,es042,es043,es044,es045,es046,es047,es048,es049,es050,es051,es052,es053,es054,es055,es056,es057,es062,es063,es064,es065,es066,es067,es068,es069,es070,es071,es072,es073,es074,es075,es076,es077,es078,es079,es082,es083,es084,es085,es086,es087,es088,es089,es090,es091,es092,es093,es094,es095,es096,es097,es098,es099,es100,es101,es102,es103,es104,es105,es106,es107,es108,es109,es110,es111,es112,es113,es114,es115,es116,es117,es118,es119,es120,es121,es122,es123,es124,es125,es126,es127,es128,es129,es130,es131,es132,es133,es134,es135,es136,es137,es138,es139,es140,es141,es160,es161,es162,es163,es164,es165,es166,es167,es168,es169,es170,es171,es172,es173,es174,es175,es176,es177,es178,es179,es180,es181,es182,es183,es184,es185,es186,es187,es188,es189,es190,es191,es192,es193,es194,es195,es196,es197,es198,es199,es200,es201,es202,es203,es204,es205,es206,es207
es183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0
es203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635
es204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0
es205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635
es206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0
es207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127
